name,rating,snippet,temp_text,stemmed_text,tokenized_text,cleaned_text
Budi Herlambang,5.0,Keren kampusnya..adem ada danaunya,keren kampusnyaadem danaunya,keren kampusnyaadem danau,"['keren', 'kampusnyaadem', 'danau']","['keren', 'kampusnyaadem', 'danau']"
Zevril Petri Appang,1.0,Banyak alumninya ikut test pln lagi,alumninya test pln,alumni test pln,"['alumni', 'test', 'pln']","['alumni', 'test', 'pln']"
danur qahari,5.0,"Saat ini sedang renovasi, dan masih berlangsung proses renovasi",renovasi proses renovasi,renovasi proses renovasi,"['renovasi', 'proses', 'renovasi']","['renovasi', 'proses', 'renovasi']"
Tony Koerniawan,5.0,Tempat perkuliahan tentang ketenaglistrikan yang lengkap fasilitasnya.,perkuliahan ketenaglistrikan lengkap fasilitasnya,kuliah ketenaglistrikan lengkap fasilitas,"['kuliah', 'ketenaglistrikan', 'lengkap', 'fasilitas']","['kuliah', 'ketenaglistrikan', 'lengkap', 'fasilitas']"
hassim frusst,5.0,Sangat bagus sekali,bagus,bagus,['bagus'],['bagus']
yusuf ekoar,5.0,Kampusnya calon pimpinan PLN masadepan.,kampusnya calon pimpinan pln masadepan,kampus calon pimpin pln masadepan,"['kampus', 'calon', 'pimpin', 'pln', 'masadepan']","['kampus', 'calon', 'pimpin', 'pln', 'masadepan']"
Wangsarajasa Investasi Super,5.0,Karena kakak saya ada di sekolah STT Jakarta Barat,kakak sekolah stt jakarta barat,kakak sekolah stt jakarta barat,"['kakak', 'sekolah', 'stt', 'jakarta', 'barat']","['kakak', 'sekolah', 'stt', 'jakarta', 'barat']"
Nur Ramadhan,5.0,"Bagus tempatnya, nyaman ,",bagus tempatnya nyaman,bagus tempat nyaman,"['bagus', 'tempat', 'nyaman']","['bagus', 'tempat', 'nyaman']"
Dedi Doang,5.0,semakin top,top,top,['top'],['top']
Channel YouTube LAMBE MUNCIS,4.0,"Kampus yang bagus,lokasinya juga sangat strategis",kampus baguslokasinya strategis,kampus baguslokasinya strategis,"['kampus', 'baguslokasinya', 'strategis']","['kampus', 'baguslokasinya', 'strategis']"
Anas Ibrahim kiansantang,5.0,kita kasih bintang 5 dair singawinata.com,kasih bintang 5 dair singawinatacom,kasih bintang 5 dair singawinatacom,"['kasih', 'bintang', '5', 'dair', 'singawinatacom']","['kasih', 'bintang', '5', 'dair', 'singawinatacom']"
wi rudy,5.0,Tempat mengadakan perpisahan sma disini.,mengadakan perpisahan sma,ada pisah sma,"['ada', 'pisah', 'sma']","['ada', 'pisah', 'sma']"
Agus Supriyono,5.0,Tempat kost atau kontrakan yang dekat kampus ada ya,kost kontrakan kampus ya,kost kontra kampus ya,"['kost', 'kontra', 'kampus', 'ya']","['kost', 'kontra', 'kampus', 'ya']"
Nur Syamsudin,5.0,Indah rapih bersih,indah rapih bersih,indah rapih bersih,"['indah', 'rapih', 'bersih']","['indah', 'rapih', 'bersih']"
dedi kurnia,5.0,Basecampnya Mapala Cakrawala,basecampnya mapala cakrawala,basecampnya mapala cakrawala,"['basecampnya', 'mapala', 'cakrawala']","['basecampnya', 'mapala', 'cakrawala']"
muhammad chamis,5.0,Saya alumni thn 2009,alumni thn 2009,alumni thn 2009,"['alumni', 'thn', '2009']","['alumni', 'thn', '2009']"
Mr. 107,5.0,Ya begitulah kampusnya,ya kampusnya,ya kampus,"['ya', 'kampus']","['ya', 'kampus']"
Andrian Tjia,5.0,Semoga bisa lanjut sekolah disini,semoga sekolah,moga sekolah,"['moga', 'sekolah']","['moga', 'sekolah']"
firman ayuda,5.0,mohon info kos2an dekat dengan kampus sttpln...,mohon info kos2an kampus sttpln,mohon info kos2an kampus sttpln,"['mohon', 'info', 'kos2an', 'kampus', 'sttpln']","['mohon', 'info', 'kos2an', 'kampus', 'sttpln']"
